"","trt","m","cf"
"1",0,1,1.6164263256492
"2",0,2,1.18762765129841
"3",0,3,0.758828976947612
"4",0,4,0.330030302596816
"5",0,5,-0.0987683717539798
"6",0,6,-0.527567046104776
